CASE	SERIAL	REF	QUESTNNR	MODE	STARTED	EE01	EE01_01	EE01_02	SD01	SD02_01	SD03	SD03_03	SD04	SD04_06	SD05	SD06	SD06_02	SD07	SD07_02	SL02_01	SL02_02	SL02_03	SL02_04	SL02_05	SL02_06	SL02_07	SL02_08	SL02_09	SL02_10	HA01_08	HA02_08	HA03_08	HA05_08	MF01_01	MF01_02	MF01_03	MF01_04	MF01_05	MF01_06	MF01_07	MF01_08	MF01_09	MF01_10	MF01_11	MF01_12	MF01_13	MF01_14	MF01_15	MF01_16	MF01_17	MF01_18	MF01_19	MF01_20	MF01_21	MF01_22	MF01_23	ME01	ME02	ME03_01	ME21_01	ME04	ME05_01	ME22_01	ME06	ME07_01	ME23_01	ME08_01	ME09	ME09_08	ME13	ME13_01	ME13_02	ME13_03	ME13_04	ME13_05	ME13_06	ME13_07	ME13_08	ME13_09	ME13_10	ME13_11	ME13_12	ME13_13	ME13_14	ME13_15	ME13_16	ME13_17	ME13_18	ME13_19	ME13_20	ME13_21	ME13_22	ME13_23	ME13_24	ME13_25	ME13_26	ME13_27	ME13_28	ME14_01	ME14_02	ME14_03	ME14_04	ME14_05	ME14_06	ME14_07	ME14_08	ME14_09	ME14_10	ME14_11	ME14_12	ME14_13	ME14_14	ME14_15	ME14_16	ME14_17	ME14_18	ME14_19	ME14_20	ME14_21	ME14_22	ME14_23	ME14_24	ME14_25	ME14_26	ME14_27	ME14_28	ME17_01	ME17_02	ME17_03	ME17_04	ME17_05	ME17_06	ME17_07	ME17_08	ME17_09	ME17_10	ME17_11	ME17_12	ME17_13	ME17_14	ME17_15	ME17_16	ME17_17	ME17_18	ME17_19	ME17_20	ME17_21	ME17_22	ME17_23	ME17_24	ME17_25	ME17_26	ME17_27	ME17_28	ME10	ME18_01	ME18_02	ME18_03	ME18_04	ME18_05	ME19_01	ME24_01	ME24_02	ME24_03	RE02	RE04	RE05	RE03	RE08	RE06	RE07	KU02_01	KU02_02	KU02_03	KU02_04	KU02_05	KU02_06	KU02_07	KU02_08	KU14_01	KU12_01	KU12_02	KU12_03	KU12_04	KU13_01	KU13_02	KU13_03	MW02_01	MW05_02	MW03_01	MW06_03	MW07_04	MW08_05	MW04_01	MW09_06	OV01_01	OV01_02	OV01_03	OV01_04	OV01_05	OV01_06	OV01_07	OV01_08	OV02_01	OV02_02	OV02_03	OV02_04	OV03	OV03_01	OV03_02	OV04	OV04_04	SC01_01	SC01_02	SC01_03	SC01_04	SC02_01	SC02_02	SC02_03	SC02_04	SC02_05	SC02_06	SC02_07	SC02_08	SC02_09	SC02_10	SC02_11	SC02_12	SC02_13	SC03_01	SC04_01	EI01_01	EI01_02	EI01_03	EI01_04	EI01_05	EI01_06	EI01_07	EI01_08	EI01_09	EI01_10	EI01_11	EI01_12	EI01_13	EI01_14	EI01_15	EI01_16	EI01_17	EI01_18	EI01_19	EI01_20	EI02	KL01_01	KL01_02	KL01_03	KL01_04	KL01_05	KL01_06	KL01_07	KL01_08	KL01_09	KL01_10	KL01_11	KL01_12	KL01_13	AD01	AD02_01	AD03	AD04	AE01_01	AE01_02	AE01_03	AE01_04	AE01_05	AE01_06	AE01_07	AE01_08	AE01_09	AE01_10	AE01_11	AE01_12	AE01_13	AE01_14	AE02_01	AE02_02	AE02_03	AA01_01	AA01_02	AA01_03	AA01_04	AA01_05	AA01_06	AA01_07	AA01_08	AA01_09	AA01_10	AA01_11	AA01_12	AA01_13	AA01_14	AA01_15	AA01_16	AA01_17	AA01_18	AA01_19	AA01_20	AA01_21	ST01_01	ST01_02	ST01_03	ST01_04	ST01_05	ST01_06	ST01_07	ST01_08	ST01_09	ST01_10	ST01_11	ST01_12	IM01_01	IM01_02	IM01_03	IM01_04	IM01_05	IM01_06	IM01_07	IM01_08	IM01_09	IM01_10	IM01_11	IM01_12	IM01_13	IM01_14	IM01_15	IM01_16	IM01_17	IM01_18	IM01_19	IM01_20	AL01_01	AL02_01	AL04_01	AL04_02	AL04_03	AL04_04	AL04_05	AL04_06	AL05_01	AL05_02	AL06_01	AL06_02	AL06_03	AL06_04	AL06_05	TIME001	TIME002	TIME003	TIME004	TIME005	TIME006	TIME007	TIME008	TIME009	TIME010	TIME011	TIME012	TIME013	TIME014	TIME015	TIME016	TIME017	TIME018	TIME019	TIME020	TIME021	TIME022	TIME023	TIME024	TIME025	TIME026	TIME027	TIME028	TIME029	TIME030	TIME031	TIME032	TIME033	TIME034	TIME_SUM	MAILSENT	LASTDATA	FINISHED	Q_VIEWER	LASTPAGE	MAXPAGE	MISSING	MISSREL	TIME_RSI	DEG_TIME
360			TheOneandOnly	interview	2021-04-08 16:32:59	2	T	T	2	27	2		1		5	2	Technologiemanagement (70%Maschinenbau, 30%BWL)	2	15	1	5	5	6	1	6	1	7	6	1	7	5	7	3	5	5	4	5	3	3	4	1	5	2	4	5	5	3	2	5	2	5	1	3	4	4	1	3	1			1			5	120	0,3	180	8	musizieren																																																																																																2	1	1	1	1	1	4	1	5	3	4	2	4	2	3	4	3	6	5	7	1	5	1	5	7	6	5	4	4	2	5	2	2	1	2	3	2	3	4	4	4	2	2	1	4		1		1	30	930	8	1	2	1	1	1	2	1	1	1	1	4	1	3	1		5	5	2	3	5	3	2	3	4	4	2	1	3	2	5	4	1	2	4	4	2	1	1	1	1	1	2	1	1	1	3	2	1	1	2	9	1	1	3	2	4	1	3	1	3	2	1	1	2	4	2	2	2	2	1	1	2	2	2	1	1	1	2	2	1	3	2	2	1	1	1	1	4	1	4	2	5	1	1	4	3	1	5	2	4	3	2	1	1	1	3	2	1	4	4	4	1	2	1	3	3	3	4	3	3	2	3	2	4	2	2	1	1	1	1	2	2	1	1	4	2	1	1	10	59	836	157	329	12	18		8		35	33	75				36	317	84	613	27	244	46	91	116	82	7	14	135	87	110	360	118	228	2780		2021-04-08 17:44:26	T	F	34	34	0	0	0.71	5
364			TheOneandOnly	interview	2021-04-08 16:37:07	2	T	T	2	34	1		1		5	1		2	40	6	5	7	5	5	5	5	6	4	1	5	5	6	2	5	5	1	4	1	5	1	1	3	1	4	3	4	4	1	3	4	4	1	3	4	4	1	2	4	0	0	7	10	1	1			36	5		1	F	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	-9	6	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1						1				1	1	1	1	2	1	1	2	4	2	4	1	3	5	3	3	4	6	2	4	1	3	2	1	2	1	2	1	1	1	1	2	1	1	2	2	1	3	2	2	2	3	2	1	14		3		24	30	8	7	2	2	1	1	1	1	1	1	1	1	1	1	2	2		5	5	1	1	5	4	1	3	5	5	1	1	1	1	5	4	1	2	5	5	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	15	1	1	3	1	4	4	3	1	1	1	2	2	2	2	2	1	2	1	1	2	3	3	2	1	1	1	1	1	1	5	4	4	2	1	1	1	4	2	2	1	5	1	1	5	2	1	4	1	1	4	1	2	1	2	1	2	2	4	4	3	2	3	1	3	3	3	2	3	4	1	4	1	5	2	3	2	1	1	1	1	2	1	1	5	1	2	2	33	35	102	45	184	9	9	14	48	14	6		32	88	8		37	133	55	187	33	114	100	203	191	85	6	16	197	166	405	313	203	46	2783		2021-04-08 17:29:04	T	F	34	34	18	7	0.79	3
365			TheOneandOnly	interview	2021-04-08 16:39:24	2	T	T	2	27	1		2		4	2	Psychologie	2	20	6	5	7	6	5	6	6	7	6	2	5	3	3	5	5	4	2	4	4	5	2	3	2	4	4	3	4	2	4	5	4	3	4	4	4	4	3	3	4	20	1	1			4	15	1		6																																																																																																	5	4	3	3	2	5	5	1	5	4	4	2	4	4	4	4	5	5	6	4	1	1	3	6	5	4	4	3	3	5	4	3	3	4	4	3	4	4	5	3	4	4	2	1	20		1		0:00	45	7:00	6	3	3	3	1	3	1	1	2	1	1	3	2	3	3		4	2	2	1	5	4	2	2	4	4	3	2	2	2	4	4	3	3	4	4	2	4	5	5	2	4	4	3	4	3	4	3	3	3	2	4	1	1	4	1	4	5	2	4	3	2	4	4	4	5	4	4	5	3	5	3	1	2	1	4	4	4	1	1	3	4	4	1	2	2	3	1	3	2	3	3	3	1	4	4	3	4	2	4	4	2	4	4	3	2	3	3	3	2	3	3	3	3	2	4	3	4	2	3	1	3	1	3	3	2	2	1	1	1	1	1	1	1	1	4	1	2	1	19	34	52	29	96	8	18	11	5		4	9	7				38	83	11	20	7	31	30	64	72	70	5	11	87	63	32	55	35	15	1021		2021-04-08 16:56:25	T	F	34	34	1	0	1.7	42
368			TheOneandOnly	interview	2021-04-08 16:47:20	2	T	T	2	24	2		2		4	2	Medizin	1		7	5	7	4	4	1	4	6	3	3	5	6	6	4	5	3	4	5	4	3	4	2	3	3	4	3	3	2	3	3	4	4	2	3	4	4	4	3	1			1			1			0	-9																																																																																																	3	1	3	2	1	1	3	2	4	3	4	4	5	2	2	5	3	5	4	6	1	1	2	6	7	7	5	7	3	3	6	3	2	2	2	3	3	4	2	4	5	5	4	1	5		2		03:00	30	13:30	10	4	2	1	1	1	2	2	2	1	1	1	1	3	2		5	2	1	3	5	4	1	3	5	5	1	1	2	3	3	4	5	2	5	5	2	2	1	1	1	3	1	1	1	2	3	1	1	1	2	7	1	1	4	4	5	3	2	3	1	4	3	3	3	1	2	3	3	1	1	1	1	2	2	1	1	1	2	1	3	3	3	3	1	1	1	1	4	1	4	2													1	2	3	2	2	3	3	2	3	2	1	3	1	3	4	3	4	4	4	3	4	3	4	3	2	1	3	2	3	1	1	3	1	1	1	35	44	99	57	339	6	10		5		8		19				61	155	133	125	36	170	64	100	161	123	4	46	182	128		148	153	26	2437		2021-04-08 17:27:58	T	F	34	34	1	0	0.8	3
370			TheOneandOnly	interview	2021-04-08 17:00:32	2	T	T	2	21	1		2		4	2		2		4	4	4	4	4	6	5	7	6	1	7	7	6	2	4	4	3	5	2	4	2	1	1	2	4	1	4	4	1	1	5	4	1	2	3	4	2	3	1			1			1				-9																																																																																																	2	1	1	1	1	1	2	1	5	2	5	3	4	2	2	4	2	2	2	5	1	2	2	5	7	5	7	5	2	2	7	5	1	1	4	1	1	1	4	3	5	4	3	1	4		2		0:30	1	9:30	7,5	1	1	1	1	1	1	1	1	1	1	1	3	1	1		5	5	1	1	5	3	1	4	3	5	1	2	1	1	5	5	1	2	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1																																																						1	1	1	1	1	2	3	3	2	3	2	2	4	2	1	4	2	1	1	3	3	2	2	1	1	1	1	1	1	1	1	2	1	1	1	67	37	80	47	191	13	15		6		4		13				39	179	64	106	42	189	78	83	87	54	5					105	87	19	1610		2021-04-08 17:27:22	T	F	34	34	3	2	0.98	7
372			TheOneandOnly	interview	2021-04-08 17:04:31	2	T	T	2	26	3	Frankreich	2		5	1		2	20	4	4	4	4	5	5	6	6	6	2	7	6	6	1	4	4	2	5	1	4	3	1	3	1	3	2	3	4	1	3	4	3	1	3	4	5	1	3	1			1			1			0	-9																																																																																																	1	1	1	1	1	1	1	2	4	4	4	2	3	5	3	2	5	4	5	5	1	1	1	4	4	5	5	2	2	2	2	2	2	3	3	4	3	4	4	2	3	2	1	2		3	1		23	4	7	8	1	1	1	1	1	2	1	1	1	1	1	1	2	1		5	5	1	1	4	4	1	1	5	5	1	2	1	1	5	5	2	1	5	5	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	9	1	1	3	4	4	2	3	4	1	2	3	4	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	2	2	2	1	1	1	3	2	1	2													2	1	1	1	1	1	3	4	3	3	1	3	3	3	1	2	2	2	3	3	4	1	1	1	1	1	1	1	2	1	1	3	1	1	1	8	2800	75	20	359	7	6		3		3		15				38	118	48	73	20	22	14	46	47	29	5	10	71	62		89	32	13	1272		2021-04-08 18:11:45	T	F	34	34	1	0	1.7	39
374			TheOneandOnly	interview	2021-04-08 17:37:42	2	T	T	2	63	2		3		5	1		2	35	3	2	1	2	2	4	4	4	4	6	4	5	4	3	5	5	3	4	3	4	3	1	3	3	3	4	4	2	1	2	3	3	2	4	4	3	2	3	1			1			1				-9																																																																																																	3	2	1	1	1	2	2	2	4	3	4	2	4	4	3	1	2	2	4	4	1	2	2	3	4	4	3	3	2	2	3	1	1	1	1	1	1	1	1	2	4	3	2	2		0.5	3		23:00	10	06:00	ca. 7	2	2	4	1	1	1	1	1	2	1	1	2	4	2		4	3	1	4	3	2	2	3	3	5	3	2	3	3	3	3	3	4	4	5	2	1	1	1	1	1	1	1	1	1	3	1	1	1	2	45	3	2	2	2	2	4	4	4	2	2	4	4	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	3	2	1	1	1	3	1	4	1													2	2	3	3	2	3	3	4	4	3	2	3	4	3	3	2	2	3	3	1	4	3	4	3	2	1	4	2	1	1	1	3	3	3	1	68	66	123	126	230	38	11		7		39		31				48	157	66	29	35	62	58	92	145	57	6	42	106	64		101	99	19	1925		2021-04-08 18:09:48	T	F	34	34	1	1	0.84	4
376			TheOneandOnly	interview	2021-04-08 17:39:04	2	T	T	2	19	2		2		4	2	Mathematik	2	15	4	4	4	4	4	6	6	6	6	3	5	5	6	2	3	5	5	4	4	4	5	2	3	4	5	4	5	4	3	3	4	4	3	4	3	4	2	2	3	20	1	1			1			0	6		0	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	6	7	5	2	5	5	2	5	3	1	1	1	1	1	1	1	1	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1						9				4	5	2	2	2	5	4	2	5	2	4	4	5	4	2	3	1	-9	-9	-9	1	1	1	7	7	5	7	7	7	4	7	4	3	1	4	2	1	4	1	4	4	3	2	1	70		3		24	20	9-10	8-9	1	1	1	1	1	1	1	1	1	1	1	1	1	-9		4	4	2	1	4	3	1	2	4	4	1	2	2	1	4	5	1	3	5	5	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2019	3	1	3	4	3	1	1	2	1	2	2	1	3	2	2	-9	3	3	2	4	2	3	2	4	1	1	2	2	2	4	2	3	1	1	1	1	3	2	3	3	5	2	1	2	2	2	4	4	1	-9	1	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	4	2	1	1	20	20	46	39	134	8	11	7	7		2		33	323	4		64	78	33	50	13	30	24	31	80	11	4	24	6996	78	62	12	8	14	1376		2021-04-08 19:56:50	T	F	34	34	23	20	1.58	61
380			TheOneandOnly	interview	2021-04-08 17:41:51	2	T	T	1	31	2		1		5	2	Hydrogeologie	2	8	6	5	5	5	1	4	5	7	4	1	6	5	6	2	4	3	4	3	2	3	4	2	4	3	3	3	4	3	2	4	3	3	2	4	3	3	3	1	4	5	0-1	2			2			24	8	Geführte Meditationspodcasts	3	F	T	F	F	F	F	T	T	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	-9	5	-9	-9	-9	-9	6	6	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-9	-9	-9	-9	1	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1						33				3	2	1	1	3	2	3	1	5	2	5	1	5	4	3	7	6	6	4	6	4	2	2	5	6	7	5	7	7	5	6	5	5	3	4	4	3	4	4	4	4	3	2	2		6	3		23	15	8:30	7-8	2	2	1	1	1	1	1	2	1	1	1	1	3	1		5	5	1	1	5	4	1	3	5	5	1	1	1	1	5	5	1	2	5	5	1	4	4	1	1	4	3	2	3	1	4	2	2	3	2	13	1	1	3	4	4	4	5	4	3	4	3	3	4	5	3	4	3	1	1	2	1	1	1	1	1	1	1	1	4	5	3	4	1	1	1	1	4	2	4	1	3	2	3	3	3	2	3	2	2	2	2	3	2	3	3	2	2	3	2	3	3	2	3	2	2	3	3	3	2	2	2	2	4	3	4	2	2	1	3	2	1	1	1	4	3	3	1	19	33	72	43	142	13	15	28	10		4		67	96	10		41	123	49	67	27	87	49	77	79	86	4	26	91	69	87	158	81	25	1778		2021-04-08 18:11:29	T	F	34	34	17	6	1	6
382			TheOneandOnly	interview	2021-04-08 17:51:17	2	T	T	1	40	1		2		5	1		2	38,5	7	6	4	6	4	5	6	7	7	1	7	6	6	2	5	2	3	4	2	3	3	2	5	2	3	4	4	3	2	5	2	3	2	5	4	3	3	3	1			1			-9			0	-9																																																																																																	2	2	1	1	1	2	4	2	5	2	5	2	5	5	4	4	3	4	5	6	1	1	2	4	5	1	5	5	5	3	4	2	2	1	2	2	1	2	3	4	4	3	3	2		21	1		23	20	7	8	3	2	1	1	1	2	1	3	-9	1	1	1	2	2		5	5	1	1	5	5	1	1	5	5	1	1	1	1	5	5	1	2	5	5	1	2	2	1	1	1	1	1	1	1	2	1	1	1	2	12	1	1	3	3	4	4	2	4	3	2	2	2	3	4	4	3	2	1	1	3	3	1	1	1	1	1	1	1	3	3	2	2	1	2	1	1	3	4	3	2													2	2	3	2	2	4	3	3	3	3	3	4	2	3	3	3	3	3	4	3	5	2	4	3	2	1	2	4	2	2	4	4	3	2	1	23	30	98	42	143	8	13		6		11		13				29	91	44	46	19	52	30	63	72	43	5	24	99	55		83	114	20	1276		2021-04-08 18:12:33	T	F	34	34	2	1	1.22	13
